date, value
1/1/2000,8.25
2/1/2000,8.31
3/1/2000,8.23
4/1/2000,8.13
5/1/2000,8.62
6/1/2000,8.22
7/1/2000,8.13
8/1/2000,7.99
9/1/2000,7.88
10/1/2000,7.68
11/1/2000,7.73
12/1/2000,7.13
1/1/2001,7.15
2/1/2001,7.12
3/1/2001,6.91
4/1/2001,7.12
5/1/2001,7.2
6/1/2001,7.11
7/1/2001,7.03
8/1/2001,6.92
9/1/2001,6.72
10/1/2001,6.64
11/1/2001,7.02
12/1/2001,7.16
1/1/2002,6.96
2/1/2002,6.81
3/1/2002,7.18
4/1/2002,6.88
5/1/2002,6.76
6/1/2002,6.55
7/1/2002,6.34
8/1/2002,6.22
9/1/2002,5.99
10/1/2002,6.31
11/1/2002,6.13
12/1/2002,5.93
1/1/2003,5.9
2/1/2003,5.79
3/1/2003,5.91
4/1/2003,5.79
5/1/2003,5.31
6/1/2003,5.24
7/1/2003,5.94
8/1/2003,6.32
9/1/2003,5.98
10/1/2003,5.94
11/1/2003,5.89
12/1/2003,5.85
1/1/2004,5.68
2/1/2004,5.58
3/1/2004,5.4
4/1/2004,6.01
5/1/2004,6.32
6/1/2004,6.25
7/1/2004,6.08
8/1/2004,5.82
9/1/2004,5.72
10/1/2004,5.64
11/1/2004,5.72
12/1/2004,5.81
1/1/2005,5.66
2/1/2005,5.69
3/1/2005,6.04
4/1/2005,5.78
5/1/2005,5.65
6/1/2005,5.53
7/1/2005,5.77
8/1/2005,5.77
9/1/2005,5.91
10/1/2005,6.15
11/1/2005,6.28
12/1/2005,6.22
1/1/2006,6.12
2/1/2006,6.26
3/1/2006,6.35
4/1/2006,6.58
5/1/2006,6.62
6/1/2006,6.78
7/1/2006,6.72
8/1/2006,6.44
9/1/2006,6.31
10/1/2006,6.4
11/1/2006,6.14
12/1/2006,6.18
1/1/2007,6.25
2/1/2007,6.22
3/1/2007,6.16
4/1/2007,6.16
5/1/2007,6.42
6/1/2007,6.67
7/1/2007,6.69
8/1/2007,6.45
9/1/2007,6.42
10/1/2007,6.33
11/1/2007,6.1
12/1/2007,6.17
1/1/2008,5.68
2/1/2008,6.24
3/1/2008,5.85
4/1/2008,6.03
5/1/2008,6.08
6/1/2008,6.45
7/1/2008,6.52
8/1/2008,6.4
9/1/2008,6.09
10/1/2008,6.46
11/1/2008,5.97
12/1/2008,5.1
1/1/2009,5.1
2/1/2009,5.07
3/1/2009,4.85
4/1/2009,4.78
5/1/2009,4.91
6/1/2009,5.42
7/1/2009,5.25
8/1/2009,5.14
9/1/2009,5.04
10/1/2009,5.03
11/1/2009,4.78
12/1/2009,5.14
1/1/2010,4.98
2/1/2010,5.05
3/1/2010,4.99
4/1/2010,5.06
5/1/2010,4.78
6/1/2010,4.69
7/1/2010,4.54
8/1/2010,4.36
9/1/2010,4.32
10/1/2010,4.23
11/1/2010,4.4
12/1/2010,4.86
1/1/2011,4.8
2/1/2011,4.95
3/1/2011,4.86
4/1/2011,4.78
5/1/2011,4.6
6/1/2011,4.51
7/1/2011,4.55
8/1/2011,4.22
9/1/2011,4.01
10/1/2011,4.1
11/1/2011,3.98
12/1/2011,3.95
1/1/2012,3.98
2/1/2012,3.95
3/1/2012,3.99
4/1/2012,3.88
5/1/2012,3.75
6/1/2012,3.66
7/1/2012,3.49
8/1/2012,3.59
9/1/2012,3.4
10/1/2012,3.41
11/1/2012,3.32
12/1/2012,3.35
1/1/2013,3.53
2/1/2013,3.51
3/1/2013,3.57
4/1/2013,3.4
5/1/2013,3.81
6/1/2013,4.46
7/1/2013,4.31
8/1/2013,4.51
9/1/2013,4.32
10/1/2013,4.1
11/1/2013,4.29
12/1/2013,4.48
1/1/2014,4.32
2/1/2014,4.37
3/1/2014,4.4
4/1/2014,4.33
5/1/2014,4.12
6/1/2014,4.14
7/1/2014,4.12
8/1/2014,4.1
9/1/2014,4.2
10/1/2014,3.98
11/1/2014,3.97
12/1/2014,3.87
1/1/2015,3.66
2/1/2015,3.8
3/1/2015,3.69
4/1/2015,3.68
5/1/2015,3.87
6/1/2015,4.02
7/1/2015,3.98
8/1/2015,3.84
9/1/2015,3.86
10/1/2015,3.76
11/1/2015,3.95
12/1/2015,4.01
1/1/2016,3.79
2/1/2016,3.62
3/1/2016,3.71
4/1/2016,3.66
5/1/2016,3.64
6/1/2016,3.48
7/1/2016,3.48
8/1/2016,3.43
9/1/2016,3.42
10/1/2016,3.47
11/1/2016,4.03
12/1/2016,4.32
1/1/2017,4.19
2/1/2017,4.16
3/1/2017,4.14
4/1/2017,4.03
5/1/2017,3.95
6/1/2017,3.88
7/1/2017,3.92
8/1/2017,3.82
9/1/2017,3.83
10/1/2017,3.94
11/1/2017,3.9
12/1/2017,3.99
1/1/2018,4.15
2/1/2018,4.4
3/1/2018,4.44
4/1/2018,4.58
5/1/2018,4.56
6/1/2018,4.55
7/1/2018,4.54
8/1/2018,4.52
9/1/2018,4.72
10/1/2018,4.86
11/1/2018,4.81
12/1/2018,4.55
1/1/2019,4.46
2/1/2019,4.35
3/1/2019,4.06
4/1/2019,4.2
5/1/2019,3.99
6/1/2019,3.73
7/1/2019,3.75
8/1/2019,3.58
9/1/2019,3.64
10/1/2019,3.78
11/1/2019,3.68
12/1/2019,3.74
1/1/2020,3.51
2/1/2020,3.45
3/1/2020,3.5
4/1/2020,3.23
5/1/2020,3.15
6/1/2020,3.13
7/1/2020,2.99
8/1/2020,2.91
9/1/2020,2.9
10/1/2020,2.81
11/1/2020,2.72
12/1/2020,2.67
1/1/2021,2.73
2/1/2021,2.97
3/1/2021,3.17
4/1/2021,2.98
5/1/2021,2.95
6/1/2021,3.02
7/1/2021,2.8
8/1/2021,2.87
9/1/2021,3.01
10/1/2021,3.14
11/1/2021,3.1
